runtime,rating,votes,gross_earn,director_avg_earn,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
142.0,9.3,2626905.0,28.34,54.635000000000005,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152.0,9.0,2598173.0,534.86,201.8322222222222,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148.0,8.8,2304062.0,292.58,201.8322222222222,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
139.0,8.8,2071088.0,37.03,86.519,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154.0,8.9,2011013.0,107.93,78.02625,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142.0,8.8,2032188.0,330.25,135.72266666666667,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
178.0,8.8,1823037.0,315.54,194.03454545454545,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136.0,8.7,1881439.0,171.48,114.57000000000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
201.0,9.0,1801662.0,377.85,194.03454545454545,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175.0,9.2,1819641.0,134.97,54.845454545454544,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164.0,8.4,1675555.0,448.14,201.8322222222222,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179.0,8.8,1626871.0,342.55,194.03454545454545,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127.0,8.6,1614560.0,100.13,86.519,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
143.0,8.0,1371553.0,623.28,369.26666666666665,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
155.0,8.5,1473434.0,187.71,73.78190476190477,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140.0,8.2,1445947.0,206.85,201.8322222222222,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165.0,8.4,1519581.0,162.81,78.02625,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
169.0,8.6,1768779.0,188.02,201.8322222222222,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
121.0,8.6,1343413.0,322.74,267.61,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
118.0,8.6,1404480.0,130.74,71.705,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
162.0,7.8,1216143.0,760.51,278.42571428571426,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
153.0,8.3,1417255.0,120.54,78.02625,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
169.0,8.6,1366343.0,216.54,156.35148148148147,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
151.0,8.5,1303531.0,132.38,51.69,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
195.0,9.0,1333407.0,96.9,156.35148148148147,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
113.0,8.4,1220296.0,25.54,201.8322222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
130.0,8.5,1310375.0,53.09,201.8322222222222,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
124.0,8.7,1270787.0,290.48,130.55333333333334,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
122.0,8.4,1141239.0,130.1,119.14285714285714,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143.0,8.1,1110566.0,305.41,169.03,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
194.0,7.9,1152050.0,659.33,278.42571428571426,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
132.0,8.2,1108869.0,70.51,41.54333333333334,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
202.0,9.0,1249182.0,57.3,54.845454545454544,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138.0,8.2,1280796.0,128.01,51.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
119.0,8.5,1107621.0,6.72,3.395,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189.0,8.6,1276092.0,136.8,54.635000000000005,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
180.0,8.2,1369335.0,116.9,51.69,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137.0,8.6,1081554.0,204.84,278.42571428571426,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
106.0,8.5,1071201.0,23.34,126.90444444444445,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
178.0,8.4,1026238.0,75.6,130.5025,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
111.0,8.2,1097925.0,70.1,78.02625,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116.0,8.5,1179469.0,210.61,135.72266666666667,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
145.0,8.7,1137965.0,46.84,51.69,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
